Session Title,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years and Number of Patients by Age at Encounter in Years Range and State of Residence,,,,
Session ID,2776947,,,,
Data Model,Patients,,,,
Population Base,All Patients,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Texas AND (Billed Procedures: INITIAL PREVENTIVE MEDICINE NEW PT AGE 5-11 YRS 99383, INITIAL PREVENTIVE MEDICINE NEW PT AGE 1-4 YRS 99382, INITIAL PREVENTIVE MEDICINE NEW PATIENT <1YEAR 99381, PERIODIC PREVENTIVE MED EST PATIENT 5-11YRS 99393, PERIODIC PREVENTIVE MED EST PATIENT 1-4YRS 99392, PERIODIC PREVENTIVE MED ESTABLISHED PATIENT <1Y 99391 OR Encounter Type: Well Child OR Diagnosis (All): Encounter for newborn, infant and child health examinations( ICD-10-CM: Z00.1 )) AND Has Any Encounters?",,,,
Session Date Range,1/1/2018 - 10/30/2025,,,,
Export User,Daniel Weinberger,,,,
Date of Export,1/6/2026,,,,
,,,,,
,,,,,
,,,Measures,Percentage with Has Any Encounters? preceded by Immunizations: MMR receipt within 10 years (%),Number of Patients
Age at Encounter in Years,State of Residence,Year,Month,,
,,2021,Jan,69.68%,15896
,,,Feb,68.11%,12945
,,,Mar,70.88%,19578
,,,Apr,71.10%,17871
,,,May,70.85%,15250
,,,Jun,71.09%,17460
,,,Jul,71.07%,16492
,,,Aug,68.60%,16715
,,,Sep,69.94%,16922
,,,Oct,70.26%,17236
,,,Nov,70.23%,16519
,,,Dec,72.01%,15671
,,2022,Jan,71.70%,17037
,,,Feb,70.72%,16518
,,,Mar,71.57%,18721
,,,Apr,70.69%,16905
,,,May,72.45%,16792
,,,Jun,70.40%,16642
,,,Jul,70.73%,15724
,,,Aug,69.09%,19005
,,,Sep,68.51%,17960
,,,Oct,69.59%,17638
,,,Nov,70.68%,16926
,,,Dec,70.55%,16483
,,2023,Jan,71.01%,19314
,,,Feb,69.26%,18059
,,,Mar,71.56%,20395
,,,Apr,71.12%,17543
,,,May,71.76%,18903
,,,Jun,70.33%,18239
,,,Jul,69.01%,17305
,,,Aug,69.30%,20367
,,,Sep,69.44%,18137
,,,Oct,70.77%,19409
,,,Nov,70.52%,18879
,,,Dec,70.53%,17344
,,2024,Jan,69.53%,21642
,,,Feb,70.57%,20570
,,,Mar,72.31%,19367
,,,Apr,71.04%,21739
,,,May,71.49%,20365
,,,Jun,69.23%,18582
,,,Jul,69.10%,20504
,,,Aug,68.63%,22466
,,,Sep,67.45%,20417
,,,Oct,69.19%,22556
,,,Nov,68.73%,18659
,,,Dec,69.99%,20563
,,2025,Jan,69.27%,22919
,,,Feb,68.94%,21210
,,,Mar,71.46%,22576
,,,Apr,72.91%,22438
,,,May,74.94%,21014
,,,Jun,74.80%,20214
,,,Jul,74.85%,21407
,,,Aug,73.21%,21170
,,,Sep,73.33%,22056
,,,Oct 1 – Oct 30,73.13%,21713
? 2 and < 3 Years,Texas,2018,Jan,95.79%,5820
,,,Feb,95.38%,5841
,,,Mar,95.81%,7724
,,,Apr,95.46%,7673
,,,May,95.82%,7633
,,,Jun,95.78%,6664
,,,Jul,95.62%,7243
,,,Aug,95.35%,8553
,,,Sep,95.52%,7207
,,,Oct,95.61%,8422
,,,Nov,96.09%,6936
,,,Dec,95.91%,5866
,,2019,Jan,95.58%,7651
,,,Feb,95.12%,7295
,,,Mar,95.77%,7188
,,,Apr,95.86%,7945
,,,May,95.83%,7483
,,,Jun,95.92%,6961
,,,Jul,95.96%,7920
,,,Aug,95.97%,8412
,,,Sep,95.88%,7664
,,,Oct,96.31%,8680
,,,Nov,96.22%,6530
,,,Dec,96.49%,6719
,,2020,Jan,96.46%,8164
,,,Feb,96.10%,7308
